gum_name,caff_per_piece,flavor,price_per_pack,page_url
"Military Energy Gum
(Formerly Stay Alert Gum)",100mg,"mint, cinnamon",$1.28,https://www.caffeineinformer.com/caffeine-content/stay-alert-us-army
Apollo Energy Gum,80mg,spearmint,$2.60,http://www.apolloenergygum.com/
Blitz Energy Gum,55mg,mint original,$2.45,None
X8 Energy Gum,50mg,mint,$4.99,https://www.caffeineinformer.com/caffeine-content/x8-energy-gum
Jolt Gum,45mg,mint,$2.49,https://www.caffeineinformer.com/caffeine-content/jolt-gum
Vibe Energy Gum,40.5mg,mint,$3.99,https://www.caffeineinformer.com/vibe-energy-gum
RockStar Gum,40mg,"mint, orange",$1.99,None
Amp Energy Gum,40mg,citrus,$2.99,None
Mad Croc Gum,40mg,"peppermint, cinnamon",$2.12,https://www.caffeineinformer.com/caffeine-content/mad-croc-gum
Mini Thin Rush Gum,40mg,"spearmint, cinnamon",$1.99,None
Wrigley’s Alert Energy Gum,40mg,"fruit, mint",$2.99,None
VE2 Energy Gum,35mg,mint,$1.69,https://www.caffeineinformer.com/ve2-energy-gum
Think Gum,10mg,peppermint,$2.99,https://www.caffeineinformer.com/caffeine-content/think-gum
Black Back Gum,5mg,mint,$2.31,None
Plow On Energy Gum,100mg,spearmint,$2.99,https://www.caffeineinformer.com/caffeine-content/plow-on-energy-gum
Java Gum,65mg,peppermint or spearmint,$2.99,https://www.caffeineinformer.com/caffeine-content/java-caffeinated-gum
OneGum (Europe),50mg,mint,€3.50,http://www.onegum.eu/
Superfast Energy Gum,50mg,mint/menthol,varies,https://www.caffeineinformer.com/caffeine-content/superfast-gum
Neurogum,40mg,fresh mint,$2.90 or less,https://www.caffeineinformer.com/caffeine-content/neurogum
Zestel Energy Gum,20mg,spearmint,$2.98,http://zestelgum.com/
Energy Bombs Chewing Gum,40mg,"mint, cinnamon",$2.99,http://www.energy-bombs.com
Drive Gum,25mg,bittermint,varies,http://www.drivegum.com/
Bold Gum,100mg,"arctic mint, spearmint, cinnamon",$2.99,None
Run Gum,50mg,"mint, fruit, cinnamon",$1.87,https://www.caffeineinformer.com/caffeine-content/run-gum
Vivarin Gum,40mg,mint,$2.67,None
Rev Energy Gum,100mg,spearmint,$3.00,None
Game Gum,20mg,spearmint,$2.50,None
Zenergy Gum,50mg,mint,$3.75,None
Alert 5 Gum,40mg,mint,$2.48,None
Simply Gum – Awaken,12mg,peppermint,$3.33,None
Fly Gum,80mg,mint,$3.40,None
Solar Energy Gum,none,mint,$14.50/100ct,None
Golf Gum,80mg,spearmint,$3.40,None
Block Head Energy Gum,50mg,peppermint,$3.40,None
On Demand Chew Pod,50mg,mint,$3.99,None
